title,category,ausbildung,ams_id,slug,salary_min_eur,salary_max_eur,outlook_text,outlook_trend,employment_sectors,url
MetalltechnikerIn Hauptmodul_Fahrzeugbautechnik,,,3450,3450-MetalltechnikerIn-Hauptmodul_Fahrzeugbautechnik,2880,2880,,neutral,,https://www.berufslexikon.at/berufe/3450-MetalltechnikerIn-Hauptmodul_Fahrzeugbautechnik/
MetalltechnikerIn Hauptmodul_Maschinenbautechnik,,,3451,3451-MetalltechnikerIn-Hauptmodul_Maschinenbautechnik,2880,2880,,neutral,,https://www.berufslexikon.at/berufe/3451-MetalltechnikerIn-Hauptmodul_Maschinenbautechnik/
MetalltechnikerIn Hauptmodul_Metallbautechnik_und_Blechtechnik,,,3452,3452-MetalltechnikerIn-Hauptmodul_Metallbautechnik_und_Blechtechnik,2880,2880,,neutral,,https://www.berufslexikon.at/berufe/3452-MetalltechnikerIn-Hauptmodul_Metallbautechnik_und_Blechtechnik/
MetalltechnikerIn Hauptmodul_Schmiedetechnik,,,3453,3453-MetalltechnikerIn-Hauptmodul_Schmiedetechnik,2880,2880,,neutral,,https://www.berufslexikon.at/berufe/3453-MetalltechnikerIn-Hauptmodul_Schmiedetechnik/
MetalltechnikerIn Hauptmodul_Schweisstechnik,,,3454,3454-MetalltechnikerIn-Hauptmodul_Schweisstechnik,2880,2880,,neutral,,https://www.berufslexikon.at/berufe/3454-MetalltechnikerIn-Hauptmodul_Schweisstechnik/
MetalltechnikerIn Hauptmodul_Sicherheitstechnik,,,3799,3799-MetalltechnikerIn-Hauptmodul_Sicherheitstechnik,2880,2880,,neutral,,https://www.berufslexikon.at/berufe/3799-MetalltechnikerIn-Hauptmodul_Sicherheitstechnik/
MetalltechnikerIn Hauptmodul_Stahlbautechnik,,,3455,3455-MetalltechnikerIn-Hauptmodul_Stahlbautechnik,2880,2880,,neutral,,https://www.berufslexikon.at/berufe/3455-MetalltechnikerIn-Hauptmodul_Stahlbautechnik/
MetalltechnikerIn Hauptmodul_Werkzeugbautechnik,,,3456,3456-MetalltechnikerIn-Hauptmodul_Werkzeugbautechnik,2880,2880,,neutral,,https://www.berufslexikon.at/berufe/3456-MetalltechnikerIn-Hauptmodul_Werkzeugbautechnik/
MetalltechnikerIn Hauptmodul_Zerspanungstechnik,,,3457,3457-MetalltechnikerIn-Hauptmodul_Zerspanungstechnik,2880,2880,,neutral,,https://www.berufslexikon.at/berufe/3457-MetalltechnikerIn-Hauptmodul_Zerspanungstechnik/
MetallurgIn,,,2736,2736-MetallurgIn,2640,2640,,neutral,,https://www.berufslexikon.at/berufe/2736-MetallurgIn/
MetallurgIn Giessereitechnik,,,2740,2740-MetallurgIn-Giessereitechnik,2640,2640,,neutral,,https://www.berufslexikon.at/berufe/2740-MetallurgIn-Giessereitechnik/
MetallurgIn Huettentechnik,,,2738,2738-MetallurgIn-Huettentechnik,2640,2640,,neutral,,https://www.berufslexikon.at/berufe/2738-MetallurgIn-Huettentechnik/
MetallurgIn Metallhuettentechnik,,,2741,2741-MetallurgIn-Metallhuettentechnik,2640,2640,,neutral,,https://www.berufslexikon.at/berufe/2741-MetallurgIn-Metallhuettentechnik/
MetallurgIn_und_UmformtechnikerIn,,,3373,3373-MetallurgIn_und_UmformtechnikerIn,2880,2880,,neutral,,https://www.berufslexikon.at/berufe/3373-MetallurgIn_und_UmformtechnikerIn/
Meteorologe/Meteorologin,,,2725,2725-Meteorologe~Meteorologin,3050,3050,,neutral,,https://www.berufslexikon.at/berufe/2725-Meteorologe~Meteorologin/
MiedererzeugerIn,,,143,143-MiedererzeugerIn,1950,1950,,neutral,,https://www.berufslexikon.at/berufe/143-MiedererzeugerIn/
Mikrobiologe/Mikrobiologin,,,2607,2607-Mikrobiologe~Mikrobiologin,3390,3390,,neutral,,https://www.berufslexikon.at/berufe/2607-Mikrobiologe~Mikrobiologin/
MikroelektronikerIn,,,1810,1810-MikroelektronikerIn,2880,2930,,neutral,,https://www.berufslexikon.at/berufe/1810-MikroelektronikerIn/
MikroelektronikerIn,,,3148,3148-MikroelektronikerIn,3340,3340,,neutral,,https://www.berufslexikon.at/berufe/3148-MikroelektronikerIn/
MikrotechnikerIn,,,2018,2018-MikrotechnikerIn,2880,2930,,neutral,,https://www.berufslexikon.at/berufe/2018-MikrotechnikerIn/
MikrotechnikerIn,,,2676,2676-MikrotechnikerIn,3340,3340,,neutral,,https://www.berufslexikon.at/berufe/2676-MikrotechnikerIn/
Milchtechnologe/Milchtechnologin,,,3482,3482-Milchtechnologe~Milchtechnologin,,,,neutral,,https://www.berufslexikon.at/berufe/3482-Milchtechnologe~Milchtechnologin/
Mineraloge/Mineralogin,,,2999,2999-Mineraloge~Mineralogin,3050,3050,,neutral,,https://www.berufslexikon.at/berufe/2999-Mineraloge~Mineralogin/
MineurIn,,,2763,2763-MineurIn,2510,2510,,neutral,,https://www.berufslexikon.at/berufe/2763-MineurIn/
MitarbeiterIn in der Problemstoffsammlung,,,3234,3234-MitarbeiterIn-in-der-Problemstoffsammlung,1910,1910,,neutral,,https://www.berufslexikon.at/berufe/3234-MitarbeiterIn-in-der-Problemstoffsammlung/
MobilitaetsberaterIn,,,3149,3149-MobilitaetsberaterIn,2640,2640,,neutral,,https://www.berufslexikon.at/berufe/3149-MobilitaetsberaterIn/
Mobilitaetsservicekaufmann/Mobilitaetsservicekauffrau,,,255,255-Mobilitaetsservicekaufmann~Mobilitaetsservicekauffrau,,,,neutral,,https://www.berufslexikon.at/berufe/255-Mobilitaetsservicekaufmann~Mobilitaetsservicekauffrau/
ModeberaterIn,,,3840,3840-ModeberaterIn,2190,2200,,neutral,,https://www.berufslexikon.at/berufe/3840-ModeberaterIn/
ModedesignerIn,,,2023,2023-ModedesignerIn,1950,2600,,neutral,,https://www.berufslexikon.at/berufe/2023-ModedesignerIn/
ModedesignerIn,,,2340,2340-ModedesignerIn,2760,2760,,neutral,,https://www.berufslexikon.at/berufe/2340-ModedesignerIn/
ModeeinkaeuferIn,,,2126,2126-ModeeinkaeuferIn,1920,2720,,neutral,,https://www.berufslexikon.at/berufe/2126-ModeeinkaeuferIn/
ModeratorIn,,,2852,2852-ModeratorIn,2260,2260,,neutral,,https://www.berufslexikon.at/berufe/2852-ModeratorIn/
MoebelmonteurIn,,,3309,3309-MoebelmonteurIn,2360,2360,,neutral,,https://www.berufslexikon.at/berufe/3309-MoebelmonteurIn/
Molekularbiologe/Molekularbiologin,,,2608,2608-Molekularbiologe~Molekularbiologin,3390,3390,,neutral,,https://www.berufslexikon.at/berufe/2608-Molekularbiologe~Molekularbiologin/
Molkerei Kaesereifachkraft,,,3597,3597-Molkerei-Kaesereifachkraft,2450,2580,,neutral,,https://www.berufslexikon.at/berufe/3597-Molkerei-Kaesereifachkraft/
MotorradmechanikerIn,,,3681,3681-MotorradmechanikerIn,2880,2900,,neutral,,https://www.berufslexikon.at/berufe/3681-MotorradmechanikerIn/
MuellauflegerIn,,,2879,2879-MuellauflegerIn,2610,2610,,neutral,,https://www.berufslexikon.at/berufe/2879-MuellauflegerIn/
Multimedia AutorIn,,,2332,2332-Multimedia-AutorIn,,,,neutral,,https://www.berufslexikon.at/berufe/2332-Multimedia-AutorIn/
Multimedia DesignerIn,,,1998,1998-Multimedia-DesignerIn,2320,2480,,neutral,,https://www.berufslexikon.at/berufe/1998-Multimedia-DesignerIn/
Multimedia KonzepterIn,,,1999,1999-Multimedia-KonzepterIn,2320,2480,,neutral,,https://www.berufslexikon.at/berufe/1999-Multimedia-KonzepterIn/
Multimedia ProducerIn,,,2000,2000-Multimedia-ProducerIn,2320,2480,,neutral,,https://www.berufslexikon.at/berufe/2000-Multimedia-ProducerIn/
Multimedia ProjektmanagerIn,,,3150,3150-Multimedia-ProjektmanagerIn,3010,3010,,neutral,,https://www.berufslexikon.at/berufe/3150-Multimedia-ProjektmanagerIn/
Multimedia ProjektmanagerIn,,,3702,3702-Multimedia-ProjektmanagerIn,2320,2480,,neutral,,https://www.berufslexikon.at/berufe/3702-Multimedia-ProjektmanagerIn/
Museologe/Museologin,,,3022,3022-Museologe~Museologin,2700,2700,,neutral,,https://www.berufslexikon.at/berufe/3022-Museologe~Museologin/
MuseumsaufseherIn,,,2853,2853-MuseumsaufseherIn,2120,2120,,neutral,,https://www.berufslexikon.at/berufe/2853-MuseumsaufseherIn/
MusicaldarstellerIn,,,3151,3151-MusicaldarstellerIn,,,,neutral,,https://www.berufslexikon.at/berufe/3151-MusicaldarstellerIn/
MusikerIn,,,2938,2938-MusikerIn,,,,neutral,,https://www.berufslexikon.at/berufe/2938-MusikerIn/
MusikerIn Elektroakustische Musik,,,2376,2376-MusikerIn-Elektroakustische-Musik,,,,neutral,,https://www.berufslexikon.at/berufe/2376-MusikerIn-Elektroakustische-Musik/
MusikinstrumentenerzeugerIn,,,1892,1892-MusikinstrumentenerzeugerIn,,,,neutral,,https://www.berufslexikon.at/berufe/1892-MusikinstrumentenerzeugerIn/
Musikpaedagoge/Musikpaedagogin,,,2368,2368-Musikpaedagoge~Musikpaedagogin,,,,neutral,,https://www.berufslexikon.at/berufe/2368-Musikpaedagoge~Musikpaedagogin/
MusiktherapeutIn,,,2371,2371-MusiktherapeutIn,3030,3030,,neutral,,https://www.berufslexikon.at/berufe/2371-MusiktherapeutIn/
MusikwissenschafterIn,,,2236,2236-MusikwissenschafterIn,2700,2700,,neutral,,https://www.berufslexikon.at/berufe/2236-MusikwissenschafterIn/
NachhaltigkeitsbeauftragteR,,,3822,3822-NachhaltigkeitsbeauftragteR,,,,neutral,,https://www.berufslexikon.at/berufe/3822-NachhaltigkeitsbeauftragteR/
NachhaltigkeitsmanagerIn,,,3861,3861-NachhaltigkeitsmanagerIn,3060,3060,,neutral,,https://www.berufslexikon.at/berufe/3861-NachhaltigkeitsmanagerIn/
NachmittagsbetreuerIn,,,3235,3235-NachmittagsbetreuerIn,2620,2620,,neutral,,https://www.berufslexikon.at/berufe/3235-NachmittagsbetreuerIn/
NachrichtentechnikerIn,,,2685,2685-NachrichtentechnikerIn,3010,3010,,neutral,,https://www.berufslexikon.at/berufe/2685-NachrichtentechnikerIn/
NachrichtentechnikerIn,,,3286,3286-NachrichtentechnikerIn,2340,2910,,neutral,,https://www.berufslexikon.at/berufe/3286-NachrichtentechnikerIn/
NachrichtentechnikerIn_fuer_Funktechnik,,,1909,1909-NachrichtentechnikerIn_fuer_Funktechnik,2340,2910,,neutral,,https://www.berufslexikon.at/berufe/1909-NachrichtentechnikerIn_fuer_Funktechnik/
NaeherIn,,,3708,3708-NaeherIn,1900,1900,,neutral,,https://www.berufslexikon.at/berufe/3708-NaeherIn/
Nah _und_DistributionslogistikerIn,,,3511,3511-Nah-_und_DistributionslogistikerIn,,,,neutral,,https://www.berufslexikon.at/berufe/3511-Nah-_und_DistributionslogistikerIn/
NanotechnikerIn,,,1990,1990-NanotechnikerIn,1970,3130,,neutral,,https://www.berufslexikon.at/berufe/1990-NanotechnikerIn/
NanotechnikerIn,,,2680,2680-NanotechnikerIn,3060,3060,,neutral,,https://www.berufslexikon.at/berufe/2680-NanotechnikerIn/
NationalparkrangerIn,,,3236,3236-NationalparkrangerIn,2740,2740,,neutral,,https://www.berufslexikon.at/berufe/3236-NationalparkrangerIn/
NaturraummanagerIn,,,2988,2988-NaturraummanagerIn,3010,3010,,neutral,,https://www.berufslexikon.at/berufe/2988-NaturraummanagerIn/
NederlandistIn,,,2965,2965-NederlandistIn,2700,2700,,neutral,,https://www.berufslexikon.at/berufe/2965-NederlandistIn/
NetzwerkadministratorIn,,,2035,2035-NetzwerkadministratorIn,2340,2480,,neutral,,https://www.berufslexikon.at/berufe/2035-NetzwerkadministratorIn/
NetzwerkadministratorIn,,,2696,2696-NetzwerkadministratorIn,3010,3010,,neutral,,https://www.berufslexikon.at/berufe/2696-NetzwerkadministratorIn/
Neuropsychologe/Neuropsychologin,,,3152,3152-Neuropsychologe~Neuropsychologin,3480,3480,,neutral,,https://www.berufslexikon.at/berufe/3152-Neuropsychologe~Neuropsychologin/
NotarIn,,,2533,2533-NotarIn,2730,2730,,neutral,,https://www.berufslexikon.at/berufe/2533-NotarIn/
NumismatikerIn,,,2233,2233-NumismatikerIn,2700,2700,,neutral,,https://www.berufslexikon.at/berufe/2233-NumismatikerIn/
ObduktionsassistentIn,,,3324,3324-ObduktionsassistentIn,2060,2060,,neutral,,https://www.berufslexikon.at/berufe/3324-ObduktionsassistentIn/
ObduktionsassistentIn,,,3750,3750-ObduktionsassistentIn,2060,2850,,neutral,,https://www.berufslexikon.at/berufe/3750-ObduktionsassistentIn/
OberflaechentechnikerIn,,,239,239-OberflaechentechnikerIn,1970,1970,,neutral,,https://www.berufslexikon.at/berufe/239-OberflaechentechnikerIn/
OberflaechentechnikerIn,,,2045,2045-OberflaechentechnikerIn,1970,3130,,neutral,,https://www.berufslexikon.at/berufe/2045-OberflaechentechnikerIn/
OberteilherrichterIn,,,149,149-OberteilherrichterIn,2030,2030,,neutral,,https://www.berufslexikon.at/berufe/149-OberteilherrichterIn/
Obstbauer/Obstbaeuerin,,,1945,1945-Obstbauer~Obstbaeuerin,2030,2360,,neutral,,https://www.berufslexikon.at/berufe/1945-Obstbauer~Obstbaeuerin/
ObstkonserviererIn GemuesekonserviererIn,,,150,150-ObstkonserviererIn-GemuesekonserviererIn,2320,2320,,neutral,,https://www.berufslexikon.at/berufe/150-ObstkonserviererIn-GemuesekonserviererIn/
Oeko AuditorIn,,,2636,2636-Oeko-AuditorIn,3060,3060,,neutral,,https://www.berufslexikon.at/berufe/2636-Oeko-AuditorIn/
Oeko DesignerIn,,,3860,3860-Oeko-DesignerIn,,,,neutral,,https://www.berufslexikon.at/berufe/3860-Oeko-DesignerIn/
Oekologe/Oekologin,,,2629,2629-Oekologe~Oekologin,3010,3010,,neutral,,https://www.berufslexikon.at/berufe/2629-Oekologe~Oekologin/
Oekotrophologe/Oekotrophologin,,,2610,2610-Oekotrophologe~Oekotrophologin,3060,3060,,neutral,,https://www.berufslexikon.at/berufe/2610-Oekotrophologe~Oekotrophologin/
OfenbautechnikerIn_und_VerlegetechnikerIn,,,3374,3374-OfenbautechnikerIn_und_VerlegetechnikerIn,2460,2460,,neutral,,https://www.berufslexikon.at/berufe/3374-OfenbautechnikerIn_und_VerlegetechnikerIn/
Office Assistant,,,2065,2065-Office-Assistant,2190,2820,,neutral,,https://www.berufslexikon.at/berufe/2065-Office-Assistant/
Online HaendlerIn,,,3156,3156-Online-HaendlerIn,2190,2820,,neutral,,https://www.berufslexikon.at/berufe/3156-Online-HaendlerIn/
Online Marketing ManagerIn,,,2546,2546-Online-Marketing-ManagerIn,2540,2540,,neutral,,https://www.berufslexikon.at/berufe/2546-Online-Marketing-ManagerIn/
